ProjectCode;BH_ID;Motherhole;HoleType;MaxDepth;DepthFrom;DepthTo;Date;Cr2O3_%;FeO_%;SiO2_%;MgO_%;Al2O3_%;CaO_%;P_%;Au_ICP_ppm;Pt_ICP_ppm;Pd_ICP_ppm;Rh_ICP_ppm;Ir_ICP_ppm;Ru_ICP_ppm;Stratigraphy;Filter
J1103;SC06;SC06;borehole;639.35;619.33;619.36;23. Dez 08;34.96;19.29;17.09;16.79;10.21;0.89;0.00;0.01;0.53;0.16;0.14;0.09;0.32;LG1;0
J1098;SC11;SC11;borehole;460.2;397.47;397.53;23. Feb 09;39.64;20.77;11.04;15.64;10.85;0.46;0.01;0.01;1.56;0.60;0.42;0.13;0.38;LG2;0
J1492;MD16;MD16;borehole;278.8;151.53;151.69;17. Sep 13;46.28;20.81;5.90;12.95;11.82;0.80;0.00;0.01;0.04;0.02;0.10;0.04;0.26;LG3;0
J1474;MD09;MD09;borehole;52.23;48.38;48.78;09. Nov 09;39.53;19.65;8.94;12.93;12.00;2.20;0.01;0.01;0.10;0.02;0.07;0.04;0.34;LG4;0
J1097;SC63;SC63;borehole;333.75;330.35;330.59;23. Feb 09;43.11;23.51;4.67;11.21;13.59;0.43;0.00;0.01;0.55;0.19;0.21;0.08;0.47;LG5;0
J1099;SC01;SC01;borehole;274.5;232.3;233.03;01. Jul 08;42.88;23.36;4.49;9.86;14.66;0.61;0.00;0.01;0.30;0.05;0.09;0.06;0.48;LG6;1
J1098;SC02;SC02;borehole;280.7;237.75;238.32;01. Jul 08;44.59;24.65;2.73;9.61;14.35;0.38;0.00;0.01;0.31;0.04;0.11;0.05;0.40;LG6;1
J1101;SC03;SC03;borehole;289.65;242.7;243.64;01. Jul 08;44.31;24.23;2.53;10.13;14.52;0.41;0.00;0.01;0.29;0.05;0.11;0.05;0.39;LG6;1
J1114;SC04;SC04;borehole;523;244.64;245.51;01. Jul 08;45.04;24.91;1.84;9.64;14.42;0.32;0.00;0.01;0.33;0.04;0.13;0.05;0.49;LG6;1
J1106;SC05;SC05;borehole;486.04;394.94;395.8;01. Jul 08;46.52;24.92;1.69;9.76;13.46;0.32;0.00;0.01;0.30;0.03;0.11;0.05;0.44;LG6;1
J1114;SC06;SC06;borehole;639.35;413.91;414.86;01. Jul 08;43.05;23.56;5.14;10.27;14.00;0.60;0.00;0.01;0.28;0.04;0.08;0.04;0.34;LG6;1
J1108;SC07;SC07;borehole;593.73;376.75;377.24;01. Jul 08;44.12;24.34;2.75;9.96;14.68;0.48;0.00;0.01;0.33;0.07;0.12;0.11;0.52;LG6;1
J1111;SC08;SC08;borehole;645.05;422.49;423.36;01. Jul 08;44.81;24.10;2.99;9.75;14.30;0.47;0.00;0.01;0.35;0.07;0.10;0.09;0.40;LG6;1
J1111;SC09;SC09;borehole;648.7;426.06;427.02;01. Jul 08;45.63;24.20;2.61;9.61;14.25;0.44;0.00;0.01;0.34;0.05;0.10;0.08;0.35;LG6;1
J1110;SC10;SC10;borehole;463.5;238.38;239.3;01. Jul 08;45.32;24.68;2.00;9.66;14.26;0.36;0.00;0.01;0.33;0.05;0.11;0.07;0.27;LG6;1
J1106;SC11;SC11;borehole;460.2;243;243.94;01. Jul 08;44.42;25.27;2.62;9.71;14.26;0.31;0.00;0.01;0.37;0.06;0.12;0.08;0.38;LG6;1
J1113;SC12;SC12;borehole;628.5;402.48;403.5;01. Jul 08;43.79;25.94;3.06;9.53;13.80;0.47;0.00;0.01;0.38;0.06;0.11;0.08;0.53;LG6;1
J1106;SC14;SC14;borehole;566.8;344.35;345.23;01. Jul 08;43.89;25.13;3.32;10.24;14.38;0.44;0.00;0.05;0.26;0.05;0.10;0.07;0.52;LG6;1
J1108;SC15;SC15;borehole;560.65;338.65;339.56;01. Jul 08;43.87;23.95;3.16;10.10;14.44;0.41;0.00;0.01;0.32;0.06;0.12;0.09;0.51;LG6;1
J1116;SC16;SC16;borehole;571.35;347.76;348.69;01. Jul 08;44.72;24.71;2.72;9.58;14.36;0.48;0.00;0.01;0.37;0.04;0.14;0.09;0.62;LG6;1
J1110;SC17;SC17;borehole;455.32;230.46;231.44;01. Jul 08;43.94;24.60;3.23;9.65;14.62;0.40;0.00;0.01;0.37;0.05;0.14;0.09;0.53;LG6;1
J1111;SC18;SC18;borehole;566.18;338.51;339.32;01. Jul 08;43.50;24.23;4.10;10.58;14.20;0.37;0.00;0.01;0.30;0.06;0.10;0.07;0.54;LG6;1
J1113;SC19;SC19;borehole;578.94;350.96;351.9;01. Jul 08;43.87;24.39;3.40;10.44;14.96;0.38;0.00;0.02;0.33;0.06;0.13;0.09;0.55;LG6;1
J1109;SC20;SC20;borehole;388.45;157.1;158.07;01. Jul 08;44.65;25.31;2.07;9.92;14.54;0.30;0.01;0.01;0.31;0.07;0.13;0.08;0.51;LG6;1
J1110;SC21;SC21;borehole;414.04;177.88;178.57;01. Jul 08;45.04;25.03;2.27;10.10;14.12;0.28;0.00;0.01;0.35;0.06;0.13;0.09;0.61;LG6;1
J1115;SC22;SC22;borehole;440.93;161.18;162.12;01. Jul 08;43.46;24.06;3.47;10.30;14.24;0.29;0.00;0.01;0.21;0.04;0.09;0.06;0.38;LG6;1
J1113;SC23;SC23;borehole;388.45;158.22;159.15;01. Jul 08;44.41;24.74;2.49;9.98;14.52;0.35;0.00;0.01;0.24;0.03;0.08;0.06;0.34;LG6;1
J1114;SC24;SC24;borehole;386.35;156.35;157.27;01. Jul 08;44.22;24.89;2.99;9.83;14.74;0.49;0.01;0.01;0.28;0.03;0.10;0.07;0.51;LG6;1
J1108;SC25;SC25;borehole;366.04;145.81;146.68;01. Jul 08;43.71;24.76;3.34;9.74;14.46;0.37;0.00;0.01;0.29;0.05;0.11;0.07;0.42;LG6;1
J1112;SC26;SC26;borehole;559.27;329.76;330.44;01. Jul 08;44.22;24.76;3.27;9.63;14.10;0.45;0.00;0.01;0.35;0.07;0.12;0.09;0.47;LG6;1
J1113;SC27;SC27;borehole;453.22;222.82;223.81;01. Jul 08;44.65;1.58;24.84;10.09;14.83;0.33;0.00;0.01;0.32;0.04;0.12;0.09;0.53;LG6;1
J1114;SC28A;SC28A;borehole;575.34;323.26;324.13;01. Jul 08;44.85;24.26;2.74;9.59;14.19;0.43;0.00;0.01;0.33;0.04;0.12;0.09;0.53;LG6;1
J1111;SC29;SC29;borehole;471.86;241.83;242.88;01. Jul 08;44.50;1.60;24.46;9.77;14.61;0.38;0.00;0.01;0.32;0.06;0.14;0.09;0.50;LG6;1
J1114;SC30;SC30;borehole;390.04;163.11;164.16;01. Jul 08;44.76;24.42;2.51;9.56;14.30;0.37;0.00;0.01;0.31;0.05;0.14;0.08;0.49;LG6;1
J1117;SC31;SC31;borehole;476.77;246.77;247.7;01. Jul 08;45.12;1.62;24.59;9.85;15.12;0.27;0.00;0.01;0.38;0.06;0.13;0.08;0.45;LG6;1
J1106;SC32;SC32;borehole;369;146.55;147.69;01. Jul 08;42.27;24.14;4.13;10.44;14.20;0.56;0.01;0.01;0.33;0.06;0.11;0.07;0.47;LG6;1
J1108;SC33;SC33;borehole;520.4;300.73;301.66;01. Jul 08;44.30;24.22;2.99;9.64;14.56;0.47;0.00;0.01;0.35;0.05;0.13;0.09;0.46;LG6;1
J1107;SC35;SC35;borehole;393.87;163.88;164.84;01. Jul 08;44.65;24.52;2.57;10.12;14.09;0.71;0.01;0.01;0.36;0.06;0.11;0.08;0.47;LG6;1
J1109;SC37;SC37;borehole;371.04;141.18;142.2;01. Jul 08;43.78;24.49;2.83;10.05;14.69;0.48;0.00;0.01;0.34;0.06;0.11;0.08;0.47;LG6;1
J1111;SC38;SC38;borehole;467.39;239.8;240.71;01. Jul 08;45.20;25.05;2.77;9.61;14.20;0.61;0.00;0.01;0.39;0.04;0.13;0.10;0.58;LG6;1
J1113;SC39;SC39;borehole;581.08;351.07;351.98;01. Jul 08;44.79;24.70;2.43;9.97;14.79;0.58;0.00;0.01;0.28;0.04;0.12;0.09;0.56;LG6;1
J1112;SC40;SC40;borehole;564.8;338.96;340.13;01. Jul 08;43.74;24.87;2.90;9.66;14.30;0.76;0.00;0.01;0.31;0.03;0.12;0.09;0.65;LG6;1
J1110;SC41;SC41;borehole;642.04;414.04;415.04;01. Jul 08;44.53;1.61;24.29;9.85;14.79;0.50;0.00;0.01;0.35;0.05;0.11;0.09;0.53;LG6;1
J1123;SC42;SC42;borehole;577.5;351.68;352.86;01. Jul 08;44.65;24.43;2.78;9.88;14.56;0.44;0.00;0.01;0.29;0.08;0.11;0.10;0.80;LG6;1
J1126;SC43;SC43;borehole;652.65;431.54;432.47;01. Jul 08;45.34;1.62;24.67;9.80;14.74;0.58;0.00;0.01;0.28;0.08;0.08;0.08;0.55;LG6;1
J1115;SC44;SC44;borehole;565.3;335.28;336.21;01. Jul 08;43.78;24.27;3.42;9.93;14.48;0.54;0.00;0.03;0.31;0.05;0.09;0.09;0.50;LG6;1
J1118;SC45;SC45;borehole;652;412.18;413.14;01. Jul 08;45.23;24.78;2.78;9.80;14.09;0.44;0.00;0.01;0.39;0.07;0.10;0.09;0.57;LG6;1
J1110;SC46;SC46;borehole;445.4;230.1;230.96;01. Jul 08;44.66;24.47;2.29;9.73;15.04;0.33;0.00;0.01;0.35;0.06;0.09;0.08;0.49;LG6;1
J1112;SC47;SC47;borehole;467.86;239.13;239.94;01. Jul 08;43.76;24.56;3.88;10.22;14.27;0.46;0.00;0.01;0.30;0.05;0.11;0.08;0.49;LG6;1
J1113;SC48;SC48;borehole;505;288.62;289.53;01. Jul 08;44.24;1.58;24.58;10.26;15.02;0.71;0.00;0.01;0.32;0.07;0.13;0.10;0.58;LG6;1
J1112;SC49;SC49;borehole;400.06;128.49;129.44;01. Jul 08;44.81;24.79;2.54;9.76;14.76;0.62;0.00;0.01;0.31;0.05;0.12;0.08;0.53;LG6;1
J1117;SC50;SC50;borehole;418.65;192.59;193.48;01. Jul 08;43.32;24.44;3.51;10.09;15.19;0.78;0.00;0.01;0.35;0.07;0.12;0.09;0.56;LG6;1
J1108;SC51;SC51;borehole;654.74;418.22;419.07;01. Jul 08;44.22;24.41;3.37;10.06;14.42;0.47;0.00;0.01;0.31;0.06;0.12;0.08;0.42;LG6;1
J1108;SC52;SC52;borehole;340.7;123.65;124.51;01. Jul 08;43.67;24.75;3.92;10.14;14.65;0.89;0.00;0.01;0.32;0.07;0.13;0.08;0.47;LG6;1
J1120;SC53;SC53;borehole;645;415.53;416.55;01. Jul 08;45.05;24.99;2.61;9.97;14.31;0.50;0.00;0.01;0.36;0.05;0.13;0.08;0.44;LG6;1
J1108;SC54;SC54;borehole;525.8;309.58;310.47;01. Jul 08;43.36;24.25;3.91;10.13;15.16;0.77;0.00;0.01;0.35;0.08;0.15;0.09;0.49;LG6;1
J1123;SC55;SC55;borehole;532.4;315.93;316.84;01. Jul 08;44.70;25.29;1.73;9.55;14.21;0.83;0.00;0.01;0.37;0.06;0.14;0.08;0.46;LG6;1
J1110;SC56;SC56;borehole;550.65;330.53;331.36;01. Jul 08;44.48;24.63;3.25;9.73;14.50;0.71;0.00;0.01;0.31;0.06;0.14;0.08;0.52;LG6;1
J1120;SC57;SC57;borehole;556.75;334.69;335.62;01. Jul 08;45.18;24.42;2.41;10.08;15.03;0.39;0.00;0.01;0.33;0.05;0.14;0.08;0.47;LG6;1
J1112;SC58;SC58;borehole;619.75;399.04;400.44;01. Jul 08;43.80;24.42;2.96;10.34;14.22;0.58;0.00;0.01;0.38;0.05;0.14;0.08;0.46;LG6;1
J1104;SC62;SC62;borehole;284.7;199.18;200.11;01. Jul 08;44.44;24.58;2.98;9.89;14.45;0.27;0.00;0.01;0.36;0.06;0.14;0.09;0.49;LG6;1
J1100;SC63;SC63;borehole;333.75;291.5;292.54;20. Nov 08;44.49;24.52;3.00;9.85;14.94;0.78;0.00;0.01;0.38;0.05;0.14;0.09;0.54;LG6;1
J1105;SC64;SC64;borehole;238.6;194.86;195.53;17. Feb 09;44.30;24.84;4.30;11.00;14.16;0.25;0.00;0.01;0.34;0.06;0.12;0.08;0.50;LG6;1
J1116;SC65;SC65;borehole;484.75;256.53;257.46;20. Nov 08;44.06;24.24;3.89;10.24;14.38;0.78;0.00;0.01;0.33;0.06;0.14;0.08;0.48;LG6;1
J1118;SC66;SC66;borehole;622.75;385.22;386.16;20. Nov 08;45.42;25.65;2.77;9.69;14.25;0.79;0.00;0.01;0.34;0.06;0.12;0.08;0.43;LG6;1
J1109;SC67;SC67;borehole;508.75;281.25;282.31;20. Nov 08;44.94;25.38;3.42;10.29;14.18;0.88;0.00;0.01;0.32;0.05;0.11;0.08;0.42;LG6;1
J1118;SC68;SC68;borehole;588.2;366.54;367.52;20. Nov 08;45.06;25.44;2.41;9.64;14.21;0.81;0.00;0.01;0.40;0.07;0.15;0.11;0.56;LG6;1
J1098;SC69;SC69;borehole;325.46;282.6;283.51;20. Nov 08;44.80;24.86;3.03;10.04;14.28;0.52;0.00;0.01;0.31;0.06;0.13;0.08;0.46;LG6;1
J1101;SC70;SC70;borehole;262.75;198.38;199.3;20. Nov 08;44.73;25.05;3.06;9.78;14.46;0.84;0.00;0.01;0.28;0.05;0.13;0.09;0.50;LG6;1
J1112;SC71;SC71;borehole;334.75;291.51;292.45;20. Nov 08;44.64;24.77;3.27;10.11;14.80;0.20;0.00;0.01;0.29;0.06;0.12;0.06;0.47;LG6;1
J1100;SC72;SC72;borehole;220.65;176.64;177.55;20. Nov 08;45.33;25.06;2.48;10.18;14.39;0.44;0.00;0.01;0.27;0.04;0.10;0.06;0.46;LG6;1
